sepal_length,sepal_width,petal_length,petal_width,target
5.648344427850505,2.444319029212687,2.5440635340418454,1.7144871861013553,1
7.722571503075699,3.30056227370806,2.457174914524799,2.0120353532592934,0
6.935178190521059,4.095070006103381,6.346902025074117,0.7011229571019975,0
6.4551705431093325,3.757339727382947,2.472322579112086,1.5996978390567975,2
4.861667105592772,3.9357467548674796,2.6045033841589227,1.472190359544997,2
4.861580273210329,3.581080080105722,5.480449748265986,2.0987929042918507,0
4.509101003805518,3.6614637548428464,3.653465070458186,2.274608945155025,0
7.418234124789767,4.038069563756767,5.5825922860355695,0.12917625154572834,1
6.464014042275552,2.599203221262046,1.3856603296298728,1.7176478057411024,2
6.849061280065763,3.1746199127435375,3.8766700426729677,0.22440591788734965,1
4.374104179464888,2.5309026603670457,1.1983202410813676,1.4172607961856543,1
7.79167546778318,4.370403219191953,1.3696539003865917,0.7903185497048276,1
7.296793506881519,4.265742415247872,6.347980974732025,0.8362638388531388,0
5.064420798441794,2.094624347284414,1.8215476895938116,0.9471004082856558,1
4.954569881945562,3.6933804140376525,4.141282025423781,1.5911018777190644,1
4.960256235472362,4.220595961797598,3.4254640553441686,0.9017199176050461,0
5.395272074654336,2.4333808283056007,3.049325624927172,1.858477721416673,2
6.189123153876056,3.363068553326311,6.309016739554908,1.0708657253772873,2
5.8550020671116165,4.197171914211301,1.1287580409753881,0.26404768074390067,1
5.348424904712951,2.0814703486059174,4.916359148435976,1.9810236219618573,0
6.502670421000566,3.673808641392416,6.684027161859948,0.7858199790224943,2
4.802177898347351,2.713637617694122,4.304992282424868,1.1386405110382303,1
5.3517207347267854,4.218550868903673,6.527252525995242,1.7450653197325636,1
5.618902635857291,4.330539788396883,1.3083214877875402,0.8978947771569088,0
5.941851943181329,4.266239573872242,3.4708805825375526,0.2358055747521175,1
7.126633461014849,3.1381141199779132,2.534930966676102,0.9974105128307525,2
5.018825615770095,4.068902362374352,5.311843693386306,2.366676598466328,0
6.151243978289002,4.026918556484169,6.789652833933756,1.6401625535165396,2
6.432692447903353,2.7658411357838135,2.5135273684210624,1.7115499568012966,2
